model,n,pass1,mean_cost_usd,aubc,aubc_lo,aubc_hi,b_at_50,b_at_80
deepseek-v4-flash,100,0.93,0.0107417674,0.5121356784,0.4813266332,0.5386432161,0.01022232968,0.01564108625
deepseek-v4-pro,100,0.64,0.02810832975,0.2775879397,0.233718593,0.3207072864,0.03137120047,
qwen3-235b-instruct,100,0.5,0.01586261478,0.2544723618,0.202986809,0.3027657035,0.03018135133,
qwen3-235b-thinking,100,0.63,0.03306051097,0.2586683417,0.2196187186,0.298821608,0.04112238904,
qwen3-32b,100,0.23,0.01241470316,0.1233417085,0.07901507538,0.167464196,,
qwen3.5-122b-a10b,100,0.67,0.008992739507,0.3875125628,0.333714196,0.4427594221,0.01022232968,
qwen3.5-27b,100,0.72,0.006621068359,0.4440703518,0.3883115578,0.5003523869,0.007502572944,
qwen3.5-35b-a3b,100,0.58,0.004810665374,0.3840703518,0.3199874372,0.4487261307,0.006680867451,
qwen3.5-397b-a17b,100,0.74,0.01258300674,0.3955276382,0.348410804,0.4421909548,0.01392802506,
qwen3.6-flash,100,0.61,0.01203354753,0.3123366834,0.2629095477,0.3634962312,0.0189770716,
qwen3.7-max,100,0.64,0.1272875843,0.1548743719,0.1307267588,0.1801048995,0.1473090472,
qwen3.7-plus,100,0.78,0.02067259318,0.3664321608,0.324923995,0.4061312814,0.02131113437,
