domain,model,pass1,rank_unlimited,budget_0.3x_usd,rank_0.3x,budget_1x_usd,rank_1x,budget_3x_usd,rank_3x
airline,deepseek-v4-flash,0.8,7.5,0.006345,2.0,0.021149,2.0,0.063447,5.5
airline,deepseek-v4-pro,0.82,4.5,0.006345,10.0,0.021149,7.0,0.063447,7.0
airline,qwen3-235b-instruct,0.44,11.0,0.006345,6.0,0.021149,8.0,0.063447,10.0
airline,qwen3-235b-thinking,0.64,9.0,0.006345,10.0,0.021149,10.5,0.063447,9.0
airline,qwen3-32b,0.1,12.0,0.006345,10.0,0.021149,10.5,0.063447,11.0
airline,qwen3.5-122b-a10b,0.82,4.5,0.006345,4.0,0.021149,3.0,0.063447,2.5
airline,qwen3.5-27b,0.86,1.0,0.006345,3.0,0.021149,1.0,0.063447,1.0
airline,qwen3.5-35b-a3b,0.58,10.0,0.006345,1.0,0.021149,4.0,0.063447,8.0
airline,qwen3.5-397b-a17b,0.82,4.5,0.006345,6.0,0.021149,5.0,0.063447,2.5
airline,qwen3.6-flash,0.8,7.5,0.006345,6.0,0.021149,6.0,0.063447,5.5
airline,qwen3.7-max,0.82,4.5,0.006345,10.0,0.021149,12.0,0.063447,12.0
airline,qwen3.7-plus,0.8467,2.0,0.006345,10.0,0.021149,9.0,0.063447,4.0
retail,deepseek-v4-flash,0.8216,5.0,0.007037,3.0,0.023457,2.0,0.07037,5.0
retail,deepseek-v4-pro,0.8596,2.0,0.007037,9.5,0.023457,8.0,0.07037,2.0
retail,qwen3-235b-instruct,0.6842,11.0,0.007037,9.5,0.023457,7.0,0.07037,9.0
retail,qwen3-235b-thinking,0.7368,10.0,0.007037,9.5,0.023457,11.0,0.07037,10.0
retail,qwen3-32b,0.5614,12.0,0.007037,5.0,0.023457,10.0,0.07037,11.0
retail,qwen3.5-122b-a10b,0.807,6.0,0.007037,4.0,0.023457,4.0,0.07037,6.0
retail,qwen3.5-27b,0.9035,1.0,0.007037,2.0,0.023457,1.0,0.07037,1.0
retail,qwen3.5-35b-a3b,0.7982,7.0,0.007037,1.0,0.023457,3.0,0.07037,7.0
retail,qwen3.5-397b-a17b,0.8246,3.5,0.007037,6.0,0.023457,6.0,0.07037,3.5
retail,qwen3.6-flash,0.8246,3.5,0.007037,9.5,0.023457,5.0,0.07037,3.5
retail,qwen3.7-max,0.7456,9.0,0.007037,9.5,0.023457,12.0,0.07037,12.0
retail,qwen3.7-plus,0.7924,8.0,0.007037,9.5,0.023457,9.0,0.07037,8.0
telecom,deepseek-v4-flash,0.9942,4.0,0.008805,4.0,0.02935,4.0,0.08805,4.0
telecom,deepseek-v4-pro,0.9474,9.0,0.008805,9.5,0.02935,10.0,0.08805,8.0
telecom,qwen3-235b-instruct,0.5088,11.0,0.008805,9.5,0.02935,8.0,0.08805,9.0
telecom,qwen3-235b-thinking,0.6491,10.0,0.008805,9.5,0.02935,11.0,0.08805,10.0
telecom,qwen3-32b,0.2632,12.0,0.008805,9.5,0.02935,9.0,0.08805,11.0
telecom,qwen3.5-122b-a10b,0.9912,5.5,0.008805,3.0,0.02935,3.0,0.08805,5.5
telecom,qwen3.5-27b,0.9912,5.5,0.008805,2.0,0.02935,2.0,0.08805,5.5
telecom,qwen3.5-35b-a3b,1.0,2.0,0.008805,1.0,0.02935,1.0,0.08805,2.0
telecom,qwen3.5-397b-a17b,1.0,2.0,0.008805,5.0,0.02935,5.0,0.08805,2.0
telecom,qwen3.6-flash,1.0,2.0,0.008805,9.5,0.02935,6.0,0.08805,2.0
telecom,qwen3.7-max,0.9737,8.0,0.008805,9.5,0.02935,12.0,0.08805,12.0
telecom,qwen3.7-plus,0.9853,7.0,0.008805,6.0,0.02935,7.0,0.08805,7.0
