model,domain,n_valid,pass1,mean_cost_usd,aubc_with_ci95,b_at_50_usd,b_at_80_usd
deepseek-v4-flash,airline,150,0.8,0.010109,"0.5156 [0.4732, 0.5575]",0.009984,0.031032
deepseek-v4-flash,retail,342,0.8216,0.010543,"0.5354 [0.5089, 0.5619]",0.011521,0.021049
deepseek-v4-flash,telecom,342,0.9942,0.022311,"0.5738 [0.5644, 0.5834]",0.020661,0.031118
deepseek-v4-flash,AVERAGE,278.0,0.8719,0.014321,"0.5416 [0.5155, 0.5676]",0.014055,0.027733
deepseek-v4-pro,airline,50,0.82,0.030319,"0.3934 [0.3383, 0.4435]",0.027156,0.069096
deepseek-v4-pro,retail,114,0.8596,0.030135,"0.4081 [0.3762, 0.4380]",0.031143,0.046079
deepseek-v4-pro,telecom,114,0.9474,0.06423,"0.3751 [0.3523, 0.3961]",0.062795,0.089203
deepseek-v4-pro,AVERAGE,92.7,0.8757,0.041561,"0.3922 [0.3556, 0.4259]",0.040365,0.068126
qwen3-235b-instruct,airline,50,0.44,0.024826,"0.2415 [0.1661, 0.3198]",,
qwen3-235b-instruct,retail,114,0.6842,0.026001,"0.3570 [0.3115, 0.4027]",0.02522,
qwen3-235b-instruct,telecom,114,0.5088,0.05082,"0.2356 [0.1912, 0.2800]",0.074843,
qwen3-235b-instruct,AVERAGE,92.7,0.5443,0.033882,"0.2781 [0.2229, 0.3342]",0.050032,
qwen3-235b-thinking,airline,50,0.64,0.052221,"0.2666 [0.2067, 0.3221]",0.054709,
qwen3-235b-thinking,retail,114,0.7368,0.045524,"0.3089 [0.2726, 0.3449]",0.047488,
qwen3-235b-thinking,telecom,114,0.6491,0.086618,"0.2401 [0.2053, 0.2756]",0.106317,
qwen3-235b-thinking,AVERAGE,92.7,0.6753,0.061454,"0.2719 [0.2282, 0.3142]",0.069505,
qwen3-32b,airline,50,0.1,0.025186,"0.0559 [0.0119, 0.1057]",,
qwen3-32b,retail,114,0.5614,0.031233,"0.2823 [0.2348, 0.3286]",0.037315,
qwen3-32b,telecom,114,0.2632,0.041565,"0.1258 [0.0888, 0.1652]",,
qwen3-32b,AVERAGE,92.7,0.3082,0.032661,"0.1547 [0.1118, 0.1998]",0.037315,
qwen3.5-122b-a10b,airline,50,0.82,0.016758,"0.4706 [0.4056, 0.5295]",0.014898,0.035461
qwen3.5-122b-a10b,retail,114,0.807,0.014207,"0.4875 [0.4430, 0.5319]",0.015572,0.031143
qwen3.5-122b-a10b,telecom,114,0.9912,0.021154,"0.5807 [0.5627, 0.5969]",0.019487,0.02935
qwen3.5-122b-a10b,AVERAGE,92.7,0.8727,0.017373,"0.5130 [0.4704, 0.5528]",0.016653,0.031985
qwen3.5-27b,airline,50,0.86,0.011315,"0.5454 [0.4765, 0.6067]",0.009984,0.017025
qwen3.5-27b,retail,114,0.9035,0.010913,"0.5888 [0.5507, 0.6236]",0.010525,0.018105
qwen3.5-27b,telecom,114,0.9912,0.015971,"0.6286 [0.6099, 0.6448]",0.015421,0.021274
qwen3.5-27b,AVERAGE,92.7,0.9182,0.012733,"0.5876 [0.5457, 0.6251]",0.011977,0.018801
qwen3.5-35b-a3b,airline,50,0.58,0.006942,"0.4103 [0.3131, 0.5047]",0.008451,
qwen3.5-35b-a3b,retail,114,0.7982,0.007039,"0.5830 [0.5259, 0.6400]",0.007113,
qwen3.5-35b-a3b,telecom,114,1.0,0.010361,"0.7048 [0.6911, 0.7183]",0.010239,0.013323
qwen3.5-35b-a3b,AVERAGE,92.7,0.7927,0.008114,"0.5660 [0.5101, 0.6210]",0.008601,0.013323
qwen3.5-397b-a17b,airline,50,0.82,0.024366,"0.4240 [0.3611, 0.4760]",0.020796,0.043317
qwen3.5-397b-a17b,retail,114,0.8246,0.020842,"0.4518 [0.4132, 0.4898]",0.021693,0.038457
qwen3.5-397b-a17b,telecom,114,1.0,0.029131,"0.5261 [0.5144, 0.5382]",0.02935,0.037089
qwen3.5-397b-a17b,AVERAGE,92.7,0.8815,0.02478,"0.4673 [0.4295, 0.5013]",0.023946,0.039621
qwen3.6-flash,airline,50,0.8,0.023831,"0.4113 [0.3491, 0.4678]",0.021502,0.044786
qwen3.6-flash,retail,114,0.8246,0.020198,"0.4538 [0.4154, 0.4925]",0.020424,0.031143
qwen3.6-flash,telecom,114,1.0,0.029826,"0.5221 [0.5101, 0.5343]",0.02935,0.037089
qwen3.6-flash,AVERAGE,92.7,0.8749,0.024619,"0.4624 [0.4249, 0.4982]",0.023759,0.037673
qwen3.7-max,airline,50,0.82,0.199255,"0.1599 [0.1333, 0.1872]",0.200897,0.37861
qwen3.7-max,retail,114,0.7456,0.175282,"0.1435 [0.1252, 0.1623]",0.184298,
qwen3.7-max,telecom,114,0.9737,0.26277,"0.1432 [0.1314, 0.1555]",0.263296,0.332721
qwen3.7-max,AVERAGE,92.7,0.8464,0.212435,"0.1489 [0.1299, 0.1684]",0.216164,0.355665
qwen3.7-plus,airline,150,0.8467,0.034896,"0.3853 [0.3558, 0.4128]",0.033173,0.062517
qwen3.7-plus,retail,342,0.7924,0.030858,"0.3805 [0.3596, 0.4024]",0.031143,
qwen3.7-plus,telecom,340,0.9853,0.043974,"0.4468 [0.4377, 0.4548]",0.041693,0.055861
qwen3.7-plus,AVERAGE,277.3,0.8748,0.036576,"0.4042 [0.3843, 0.4233]",0.035336,0.059189
